Market,minSz,Reward/day,Competition,Comp_YES,Comp_NO,Comp_YES_2,Comp_NO_2,Comp_YES_1,Comp_NO_1,yes_token_id,no_token_id
Will the highest temperature in Busan be 35°C on August 3?,20,28.00,3059,573,659,109,416,30,37,,
Will the highest temperature in Guangzhou be 30°C on August 3?,20,31.00,3390,922,426,525,231,72,11,,
Will the highest temperature in Chicago be between 78-79°F on August 3?,20,34.00,3727,581,582,564,491,167,90,,
Will the highest temperature in Shenzhen be 31°C on August 4?,20,31.00,3426,708,922,511,533,156,249,,
Will the highest temperature in Houston be between 98-99°F on August 3?,20,31.00,3430,1387,328,836,260,80,109,,
Will the highest temperature in Beijing be 33°C on August 3?,20,29.00,3281,544,776,298,477,54,106,,
Will the highest temperature in Taipei be 37°C on August 3?,20,50.00,5812,1125,593,357,233,30,5,,
Will the highest temperature in Austin be between 98-99°F on August 3?,20,30.00,3493,1282,465,1147,423,1057,353,58841918225996058833095494028081382916637474259050707464549390834687178335553,
Will the highest temperature in Buenos Aires be 17°C on August 3?,20,40.00,4704,1282,617,718,161,20,20,,
Will the highest temperature in Karachi be 32°C on August 3?,20,33.00,3882,651,1175,307,865,180,546,,
Will the highest temperature in Moscow be 26°C on August 4?,20,35.00,4147,1839,234,1739,234,590,113,113623678434808940054206822422222273895058123913851639253409221484866711771402,
Will the highest temperature in Shenzhen be 28°C on August 3?,20,32.00,3817,1191,523,648,286,431,20,,
Will the highest temperature in Beijing be 35°C on August 3?,20,31.00,3709,655,838,337,492,28,109,,
Will the highest temperature in Milan be 34°C or below on August 4?,20,35.00,4194,1637,226,1379,120,90,5,,
Will the highest temperature in Cape Town be 26°C or higher on August 3?,20,30.00,3720,556,325,482,276,126,20,,
Will the highest temperature in London be 30°C on August 3?,20,37.00,4609,463,1346,166,956,19,453,,79944153017061246614457816768298806474311928421278698249870071360897980462078
Will the highest temperature in Munich be 35°C on August 3?,20,46.00,5764,708,1345,392,810,94,482,,97327234940416937918624020336411718324747978073708725845380061165338701173180
Will the highest temperature in Busan be 34°C on August 4?,20,46.00,5824,2122,790,1877,259,1306,214,56331496051730636851778258894786636772814722663657077428609405281517733639423,
Will the highest temperature in Milan be 36°C on August 3?,20,54.00,6892,1303,1686,553,993,314,5,114180759132422818147549914418792445498310903853132027577769988139858289951824,
Will the highest temperature in Paris be 37°C on August 3?,20,29.00,3707,928,907,643,780,229,348,,
Will the highest temperature in Tel Aviv be 32°C on August 4?,20,34.00,4379,1195,637,452,333,93,10,,
Will the highest temperature in Miami be between 92-93°F on August 3?,20,42.00,5418,943,933,565,604,105,70,,
Will the highest temperature in Jeddah be 39°C on August 4?,20,28.00,3672,1007,829,635,809,5,393,,
Will the highest temperature in Jeddah be 40°C or higher on August 4?,20,47.00,6252,2271,855,1448,267,626,5,95017576376118178592195972569560025499808279013955649588746441950496636931037,
Will the highest temperature in Toronto be 25°C on August 3?,20,32.00,4260,1238,679,717,416,103,5,53490026834658489402180288949246822051093538201268917594436063352790774767016,
Will the highest temperature in Seoul (Incheon) be 33°C on August 3?,20,33.00,4453,1416,609,809,373,65,133,,
Will the highest temperature in Helsinki be 21°C on August 3?,20,42.00,5685,1528,984,466,396,5,168,,
Will the highest temperature in Madrid be 33°C on August 3?,20,56.00,7600,1608,1646,832,1010,117,6,106816145839141293997212070002364124247249352742138466778799690522105724688761,
Will the highest temperature in Lucknow be 34°C on August 3?,20,25.00,3393,720,588,443,284,292,3,,
Will the highest temperature in Seoul (Incheon) be 34°C on August 3?,20,43.00,5909,1230,1404,1010,1309,40,607,,40237527169828490377186825662194589595506883989836002699199330755343885645908
Will the highest temperature in Hong Kong be 28°C on August 4?,20,36.00,4999,621,628,408,228,344,90,,
Will the highest temperature in Seoul (Incheon) be 35°C on August 4?,20,31.00,4386,1570,568,1360,232,130,90,28527141326557373106822597106662545790875487036430772664184486470807378490056,
Will the highest temperature in Cape Town be 21°C on August 4?,20,27.00,3858,925,981,503,633,70,185,,
Will the highest temperature in Tel Aviv be 35°C on August 3?,20,32.00,4579,735,1104,432,508,20,48,,
Will the highest temperature in Houston be between 96-97°F on August 3?,20,50.00,7176,1695,1126,1148,817,120,11,13136956399141361560200088646430434075909853967915888476826487771613526384060,
Will the highest temperature in Jeddah be 41°C or higher on August 3?,20,55.00,7907,1833,921,918,557,12,209,,
Will the highest temperature in Wuhan be 38°C on August 4?,20,38.00,5466,950,1713,521,1613,90,751,,82660548316891902827175434604331290162222266538113262892877552758299991151049
Will the highest temperature in Shenzhen be 29°C on August 4?,20,26.00,3739,629,974,326,601,20,113,,
Will the highest temperature in Mexico City be 26°C on August 3?,20,37.00,5356,1528,1145,601,948,10,160,,
Will the highest temperature in Qingdao be 36°C on August 3?,20,27.00,3925,947,421,259,273,62,100,,
Will the highest temperature in Guangzhou be 32°C on August 4?,20,38.00,5534,1567,1178,1244,958,164,136,60398571455664704249639746744073806783833082743475848961960552019377905128839,
Will the highest temperature in Munich be 36°C on August 3?,20,41.00,5984,641,1986,541,1631,85,911,,11996143616422633075825173950058076172307234793188067328564874705576148149174
Will the highest temperature in Madrid be 33°C on August 4?,20,35.00,5127,1492,704,1191,450,91,10,,
Will the highest temperature in Sao Paulo be 27°C on August 3?,20,32.00,4723,1078,1079,633,640,97,267,,
Will the highest temperature in Karachi be 33°C on August 4?,20,49.00,7263,2108,1214,1593,853,203,115,24590133837446522660550921237717413703535644495869351971590586833919102779071,48253630499894887735554193668752574076086721483472128332380632089155897809242
Will the highest temperature in Istanbul be 28°C on August 4?,20,51.00,7659,1534,1995,914,1579,245,556,71799211937863186137659820062481880065463840963793222168870939142594909792465,10498465280604971812796830386550230231709988249608337964277158716487059370526
Will the highest temperature in Chengdu be 34°C on August 4?,20,26.00,3943,990,967,576,622,5,336,,
Will the highest temperature in Moscow be 26°C on August 3?,20,34.00,5176,1129,768,767,473,107,143,,
Will the highest temperature in Beijing be 34°C on August 3?,20,37.00,5641,971,907,225,464,28,78,,
Will the highest temperature in Taipei be 36°C on August 4?,20,42.00,6406,2226,952,1624,767,194,142,19826724661011461612012283810490331704915866681805387878677752811720326424274,
Will the highest temperature in Madrid be 34°C on August 4?,20,54.00,8343,1739,1839,1399,327,100,5,85113291919639547813983785265195010838887813718995847362543630514244457377867,
Will the highest temperature in Lucknow be 33°C on August 3?,20,39.00,6029,971,1626,328,1108,5,505,,82209968102591377891910949044084922765461470403707553143620534410884254744723
Will the highest temperature in Helsinki be 22°C on August 4?,20,53.00,8203,1880,1073,958,227,202,5,45294105032060128334170275143151938436559105108445365792740505802310226354570,
Will the highest temperature in Beijing be 34°C on August 4?,20,28.00,4358,1150,992,961,927,130,321,,
Will the highest temperature in Shenzhen be 30°C on August 3?,20,21.00,3266,653,970,351,965,53,322,,
Will the highest temperature in Taipei be 36°C on August 3?,20,37.00,5879,1116,1302,585,719,105,9,,
Will the highest temperature in Paris be 31°C on August 4?,20,28.00,4454,1169,1058,654,673,310,317,,
Will the highest temperature in Miami be between 90-91°F on August 3?,20,48.00,7868,1371,1694,765,1166,87,816,,12224803553069778062951235113848785239359071863217599650930745164787487681233
Will the highest temperature in Chicago be between 80-81°F on August 3?,20,49.00,8064,2349,1047,1410,145,90,110,,
Will the highest temperature in Kuala Lumpur be 33°C on August 4?,20,38.00,6256,2138,859,1530,438,48,5,,
Will the highest temperature in Lucknow be 32°C on August 3?,20,26.00,4289,904,1115,472,955,165,186,,
Will the highest temperature in Karachi be 33°C on August 3?,20,55.00,9172,1786,1887,448,696,112,229,,98509827017367265520411346437599547886975663740967720614819646616657994862811
Will the highest temperature in Taipei be 35°C on August 4?,20,36.00,6009,1987,1018,1762,501,215,5,56777412419448919646038384643734283650816609641054685550322246575729056275328,
Will the highest temperature in Tel Aviv be 33°C on August 4?,20,53.00,8865,1847,1564,355,277,233,10,,
Will the highest temperature in Wuhan be 36°C on August 4?,20,25.00,4178,1304,725,888,438,511,10,85754326063386566468185790156861003837845017060236463395616340549910295952000,
Will the highest temperature in Panama City be 33°C on August 3?,20,40.00,6730,1832,1528,974,1292,138,101,22902303635538473878253856800473086303003513797223211621683157616493149913111,1955986299766403618704123438493514661894289397486249169337936349952625890064
Will the highest temperature in Jeddah be 40°C on August 3?,20,32.00,5406,1151,508,715,313,112,18,,
Will the highest temperature in Singapore be 33°C on August 3?,20,46.00,7876,777,1777,284,1581,14,136,,97649710074738614001448031544816778552641993058662737132534048416837366519853
Will the highest temperature in Singapore be 32°C on August 3?,20,54.00,9348,1932,1206,619,415,96,141,,
Will the highest temperature in Qingdao be 33°C on August 4?,20,18.00,3137,676,813,451,519,241,289,,
Will the highest temperature in London be 31°C on August 3?,20,34.00,6095,1284,1418,948,997,130,549,104007006892549656229018171488603561558767138392997945038949024910377980715660,71510192772694222968592336009899437392147170269557421076298187194212613891186
Will the highest temperature in Guangzhou be 31°C on August 3?,20,34.00,6111,1418,1337,728,799,91,137,,5117769243122821338385845660102641427173886995033229849271055654652522128045
Will the highest temperature in Cape Town be 22°C on August 4?,20,19.00,3409,712,673,388,608,10,120,,
Will the highest temperature in Kuala Lumpur be 33°C on August 3?,20,44.00,7959,1678,1354,1259,1030,412,499,27770980144764415061316369862914550103026808952289658434945018408346392989866,113033452544962114598915754094710488067851955862420090648325303667474157894958
Will the highest temperature in Milan be 35°C on August 3?,20,37.00,6752,2506,465,1506,49,861,29,10320062993249731101601161861257612783556032003454562715208595293210448254212,
Will the highest temperature in San Francisco be between 74-75°F on August 3?,20,17.00,3112,727,683,677,419,80,5,,
Will the highest temperature in Guangzhou be 29°C on August 3?,20,20.00,3667,1208,518,883,329,19,44,,
Will the highest temperature in Shanghai be 34°C on August 4?,20,41.00,7631,2325,1481,2125,232,128,10,88712303531296047493872090156701863684723043423778543146059527963814228263718,
Will the highest temperature in Warsaw be 30°C on August 3?,20,33.00,6181,1234,1376,394,448,5,5,,
Will the highest temperature in Hong Kong be 29°C on August 4?,20,34.00,6483,2270,812,1775,659,607,291,27548192200237543495050323196604975103041855181591116561245075239972632311147,
Will the highest temperature in Wuhan be 36°C on August 3?,20,37.00,7059,855,1352,411,589,2,31,,
Will the highest temperature in Wuhan be 37°C on August 3?,20,43.00,8243,1584,1435,770,1018,27,5,,
Will the highest temperature in Lucknow be 30°C on August 4?,20,30.00,5828,1286,1404,838,922,130,155,3053279700123510208139157172493267985086056416186898838329285916022111217568,1943873593346624108394117195578560438365803898454938943545833122822252658438
Will the highest temperature in Busan be 35°C on August 4?,20,28.00,5455,1804,841,1149,841,19,142,,
Will the highest temperature in Tokyo be 27°C on August 3?,20,47.00,9187,1731,1890,304,311,54,8,,
Will the highest temperature in Guangzhou be 33°C on August 4?,20,41.00,8038,2575,1344,2305,950,134,216,3152864535544610897548446477878176358990187740509328013354891856908039063926,60109285846068995626741034801228905697854249090554692102414116054920704004604
Will the highest temperature in Busan be 33°C on August 4?,20,18.00,3546,1355,361,927,201,662,137,103570971578352764655294615666036347129858004078541807018264422375388856068942,
Will the highest temperature in Atlanta be between 84-85°F on August 3?,20,38.00,7514,2650,746,1788,221,95,97,,
Will the highest temperature in Kuala Lumpur be 34°C on August 3?,20,35.00,6927,2669,286,1607,151,857,20,103043760122127624819194701966730804454988077795879092267737735870855701336593,
Will the highest temperature in Mexico City be 27°C on August 3?,20,39.00,7758,1818,1086,1169,576,630,15,76242550934451858130891081745753516409737444291886504232457494349322581673396,
Will the highest temperature in Istanbul be 29°C on August 4?,20,38.00,7565,2115,1132,1340,212,102,0,65610683118437906443017868631266653852716423775425622991595767039426087351585,
Will the highest temperature in Ankara be 32°C on August 3?,20,24.00,4790,1591,773,881,292,10,40,,
Will the highest temperature in Munich be 35°C on August 4?,20,35.00,7018,1220,820,244,264,110,118,,
Will the highest temperature in Shenzhen be 32°C on August 4?,20,27.00,5502,1250,1391,757,866,276,124,113092586226484870783595812427780247492046221669111007107094872270218822716541,64810033260736714306267874134795391386852094055463856082121798577252665968532
Will the highest temperature in San Francisco be between 76-77°F on August 3?,20,40.00,8224,1847,1427,1028,737,5,385,,49441076661526381734424919123015157153877460735874101783606123534444050333130
Will the highest temperature in Munich be 37°C on August 4?,20,17.00,3564,1366,63,903,16,696,5,26264493461380517518648184088331587723633046148163875717615645828241434115538,
Will the highest temperature in Chengdu be 33°C on August 3?,20,43.00,9137,2630,1084,1665,834,117,74,3678275121283001308551577978848814615768840228339182114357682647093454447952,
Will the highest temperature in Panama City be 34°C on August 3?,20,29.00,6158,1197,1482,721,1303,349,384,,113104045644610472362598438705482658247273111843572052852271051921929710845346
Will the highest temperature in Karachi be 34°C on August 4?,20,30.00,6434,865,1034,212,553,70,5,,
Will the highest temperature in Atlanta be between 86-87°F on August 3?,20,42.00,9173,2709,1732,2330,991,143,263,42412188214843150262208662977328479103561733947063031951011078574793835143266,36807807561235641336922400795506398945495838193108500342097684743556484797994
Will the highest temperature in Shenzhen be 29°C on August 3?,20,40.00,8736,2972,1230,2532,899,225,243,74493623863324921369135138402507923084089992681640164623373661716290643550272,110238182678359026624187603210896654519561671424929163188051002860793835704764
Will the highest temperature in Tokyo be 28°C on August 3?,20,28.00,6195,1523,1379,663,893,20,93,,
Will the highest temperature in Cape Town be 20°C on August 4?,20,19.00,4286,966,1170,584,761,216,295,,
Will the highest temperature in Ankara be 32°C on August 4?,20,38.00,8767,1719,1207,1050,428,128,5,85927802083739993401917459181370429759011250926235864565754764088072995793379,
Will the highest temperature in Helsinki be 23°C on August 4?,20,15.00,3571,1058,686,703,435,514,289,,
Will the highest temperature in Manila be 28°C on August 4?,20,32.00,7643,2479,927,1606,549,90,130,,
Will the highest temperature in Qingdao be 35°C on August 3?,20,42.00,10087,663,2703,307,1721,27,80,,
Will the highest temperature in Mexico City be 28°C on August 3?,20,14.00,3374,940,509,614,283,446,45,,
Will the highest temperature in Warsaw be 34°C on August 4?,20,32.00,7751,1181,2184,701,1208,110,521,,71291664728785429486831838177030425519393140785996317192103770190905223735985
Will the highest temperature in Chengdu be 33°C on August 4?,20,37.00,9045,3639,779,2281,456,5,5,,
Will the highest temperature in London be 28°C on August 4?,20,33.00,8697,2385,742,561,488,5,206,,
Will the highest temperature in Munich be 36°C on August 4?,20,38.00,10101,2866,786,1807,333,1097,5,30008796182128143410997679506993060268253286514823844076547148999897719508664,
Will the highest temperature in San Francisco be between 80-81°F on August 3?,20,12.00,3220,824,716,471,696,81,151,,
Will the highest temperature in Shanghai be 35°C on August 4?,20,39.00,10814,4037,1327,3307,770,1854,329,32382819762798470207575669321899272099942759413309330824565978133459610214942,9923825575211402479393650919053885863417326507541660073100483351263935215130
Will the highest temperature in Tokyo be 29°C on August 4?,20,31.00,8635,2364,1172,1534,460,70,17,,
Will the highest temperature in Helsinki be 21°C on August 4?,20,28.00,7892,1598,1198,916,686,183,150,43869087190017807846971521114480263243378453781072184670657896082113589626092,
Will the highest temperature in Munich be 34°C on August 3?,20,11.00,3217,292,856,153,508,132,75,,
Will the highest temperature in Wuhan be 37°C on August 4?,20,35.00,10488,3645,1237,2412,803,110,130,66221220843205409710546236222595839443940559646195492742360811210540586418286,79085118006385569389709454948196754112922741586573787865099859096029613832552
Will the highest temperature in Moscow be 25°C on August 4?,20,28.00,9304,2268,1344,1458,861,90,292,,70279936106792837371240226122576700420319979998471094975479979885793494455560
Will the highest temperature in Manila be 29°C on August 4?,20,31.00,10722,3019,1510,1903,713,141,200,67801728611980932839118656256890658402831417534635871293209631306858682773192,65146825119918582445626103029473218273488677239344588851952647431265018410848
Will the highest temperature in Warsaw be 29°C on August 3?,20,39.00,13521,3975,2105,2131,341,5,5,,
Will the highest temperature in Amsterdam be 31°C on August 4?,20,27.00,9618,3725,569,3135,467,724,90,88948491606388112688210361746373365233809593218600657186651981399510178329654,
Will the highest temperature in Qingdao be 34°C on August 4?,20,37.00,13934,5654,1028,4533,338,2706,40,66709201735194986264861872607577686994412922058234299598237917124008484177699,
Will the highest temperature in Cape Town be 18°C or below on August 4?,20,12.00,4515,1688,505,890,322,639,5,24349663228190983688491190958308572051904448723516759663019117056279482272479,
Will the highest temperature in Qingdao be 34°C on August 3?,20,29.00,12390,4071,692,2554,408,164,79,60504045264172887920239793560527920959691894316862872080410276463641568165337,
Will the highest temperature in Tel Aviv be 34°C on August 3?,20,56.00,27297,2075,1340,1339,436,404,70,5267541647827808243318981801258219141862069646747485415485775801307274029109,
Will the highest temperature in Warsaw be 33°C on August 4?,20,35.00,17638,5724,1184,3808,730,144,137,28484038135612492277218661078612093309537183967222013258976255584059365171766,
Will the highest temperature in Singapore be 32°C on August 4?,20,55.00,28679,2295,661,1932,525,907,45,104061841443199090782821341175809491396894978956812635035022494861750385722876,
Will the highest temperature in Ankara be 33°C on August 3?,20,53.00,29953,2333,1893,1281,427,415,5,80621309205152225977372358169269233554962088891663141454909694814314538774233,
Will the highest temperature in Chongqing be 26°C on August 3?,20,46.00,36749,2183,1343,659,802,241,185,25040491739226081199851382162727759289890287767047107835284731531668350064615,27291891281469588610731158587105902242017995549173782638964985303430794551675
Will the highest temperature in Toronto be 26°C on August 3?,20,46.00,37273,17033,934,2037,604,1254,129,13415917978264638225906439276523071444092248005443645618112742154670445325273,
Will the highest temperature in Dallas be between 100-101°F on August 3?,20,40.00,37421,2043,436,1262,248,215,90,9982698555462911732185501436054627100421769416578553142812666248200523636693,
Will the highest temperature in Moscow be 25°C on August 3?,20,45.00,42455,18223,1016,2499,624,2217,5,85455801557173391489805998082126479446126913340655674637747828498070473508540,
Will the highest temperature in Ankara be 33°C on August 4?,20,41.00,38919,17720,1140,2347,403,1394,5,29457669809361164635303501258339195792967101795567957241859109206291044932983,
Will the highest temperature in London be 29°C on August 4?,20,41.00,40201,2360,782,1131,496,116,159,72351955366293890405935147741437797256369007634737636489467314156702653367228,
Will the highest temperature in Manila be 28°C on August 3?,20,44.00,43952,18715,1452,2998,962,1422,271,33875766967141312071440603596850356620308943368373638841222088748788244679235,110032403031473932772456527330229458367255784357984702016653392380891332199547
