Market,minSz,Reward/day,Competition,Comp_YES,Comp_NO,Comp_YES_2,Comp_NO_2,Comp_YES_1,Comp_NO_1,yes_token_id,no_token_id
Will the highest temperature in Taipei be 35°C on August 1?,20,41.00,4584,62,2230,57,2215,17,3,,
Will the Minnesota 2026 Senate race be within 5%?,20,50.00,5639,617,2181,417,411,80,80,,
Will the highest temperature in Austin be between 98-99°F on July 31?,20,39.00,4481,1922,164,1178,164,449,69,,
Will the highest temperature in Karachi be 35°C on July 31?,20,47.00,5492,1136,1598,276,1222,69,550,,
Will the highest temperature in Miami be between 94-95°F on July 31?,20,52.00,6132,1857,940,1591,915,366,534,,
Will 3 Sanders endorsees win August 4 primaries?,20,223.00,26399,4229,6837,4122,6141,2217,3021,62123392009175081482528681803173956252058833004021506513505959926521430587233,48574975653028389877863119300915126535716460117040000233412492562509032909707
Will the highest temperature in London be 26°C on July 31?,20,36.00,4406,1095,805,710,565,10,0,,
Will the highest temperature in Wellington be 13°C on July 31?,20,33.00,4103,1323,328,875,206,115,104,,
Will the highest temperature in Ankara be 27°C on July 31?,20,45.00,5637,1458,1086,610,710,102,359,,
Will the highest temperature in Buenos Aires be 22°C on July 31?,20,36.00,4609,1265,1040,427,872,68,30,,
Will the highest temperature in Manila be 33°C on July 31?,20,39.00,5001,1560,741,1303,429,149,147,,
Will the highest temperature in Hong Kong be 29°C on July 31?,20,37.00,4746,1121,1024,201,489,155,208,,
Will the highest temperature in Madrid be 38°C on July 31?,20,46.00,5931,1486,1373,1100,778,492,396,,
"Will Trump say ""No No No"" in August?",30,50.00,6443,1768,1454,1568,484,581,75,,
Will the highest temperature in Munich be 36°C on July 31?,20,44.00,5696,1401,1030,564,543,298,284,,
Will the highest temperature in Karachi be 33°C on August 1?,20,45.00,5829,1436,1478,1436,1478,127,916,,
Will the highest temperature in Beijing be 34°C on August 1?,20,35.00,4582,1388,734,1067,402,363,5,,
Will the highest temperature in Denver be between 88-89°F on July 31?,20,59.00,7795,2148,924,1118,787,655,5,,
Will the highest temperature in Milan be 36°C on July 31?,20,40.00,5327,1726,902,1178,643,76,196,,
Will the highest temperature in Istanbul be 27°C on August 1?,20,56.00,7500,2071,1453,1699,1104,570,140,,
Will the highest temperature in Ankara be 28°C on August 1?,20,53.00,7142,2809,712,1735,149,1027,25,72420894151399938271567147696156751499094067993301854238803917053340125086348,
"Will Ted Cruz post 80-99 posts from July 31 to August 7, 2026?",20,57.00,7702,2890,913,2489,772,663,541,81564944157894445108527444037149354615018941848108552279658253678967111867079,
Will the highest temperature in Paris be 28°C on August 1?,20,40.00,5489,2134,610,1153,389,17,8,,
Will the highest temperature in Seoul be 32°C on July 31?,20,36.00,4971,1193,669,517,232,367,100,,
Will the highest temperature in Shanghai be 36°C on July 31?,20,46.00,6415,810,1012,81,860,6,69,,
Will the highest temperature in Beijing be 33°C on August 1?,20,29.00,4039,1438,581,366,403,141,179,,
Will the highest temperature in Istanbul be 26°C on July 31?,20,55.00,7798,1411,2103,514,1707,5,643,,
Will the highest temperature in Amsterdam be 24°C on July 31?,20,53.00,7532,1356,1884,689,950,268,350,,
Will the highest temperature in Shenzhen be 30°C on July 31?,20,38.00,5531,1008,1569,583,793,72,45,,
Will the highest temperature in London be 26°C on August 1?,20,46.00,6755,1978,1154,1260,1024,135,204,,
Will the highest temperature in Lucknow be 33°C on July 31?,20,51.00,7615,1876,1395,896,515,122,7,,
Will the highest temperature in Wuhan be 36°C on July 31?,20,34.00,5071,1418,1103,619,914,179,264,,
Will the highest temperature in Istanbul be 27°C on July 31?,20,33.00,4940,1741,674,1186,439,670,79,,
Will the highest temperature in Milan be 36°C on August 1?,20,49.00,7351,1789,1291,762,866,14,135,,
Will the highest temperature in Wuhan be 36°C on August 1?,20,39.00,5855,1751,1176,181,639,81,10,,
Will the highest temperature in Atlanta be between 92-93°F on July 31?,20,46.00,6910,2503,612,624,410,401,17,,
Will OpenAI be the third-best Code Arena | WebDev AI lab at the end of August 2026?,20,59.00,9015,930,2952,769,2660,203,1193,,109316526329673034198311677368447908089184852610336233425583832525571944724181
Will the highest temperature in Qingdao be 35°C on August 1?,20,33.00,5043,1219,1197,677,724,90,95,,
Will the highest temperature in Taipei be 35°C on July 31?,20,47.00,7233,1737,1155,245,467,57,131,,
Will the highest temperature in Singapore be 32°C on August 1?,20,55.00,8578,2099,1970,1112,1653,15,240,,
Will the highest temperature in Ankara be 29°C on August 1?,20,27.00,4239,1809,311,1659,261,869,20,,
Will the highest temperature in Chongqing be 39°C on July 31?,20,49.00,7781,976,1683,370,989,144,153,,
Will the highest temperature in San Francisco be between 70-71°F on July 31?,20,31.00,4988,2135,336,1107,311,459,161,,
Will the highest temperature in Paris be 29°C on July 31?,20,34.00,5478,1166,1148,306,532,166,175,,
Will the highest temperature in Miami be between 96-97°F on July 31?,20,29.00,4716,1712,511,1044,57,752,6,,
Will the highest temperature in Jeddah be 43°C on August 1?,20,25.00,4096,1382,541,1204,429,360,90,,
Will the highest temperature in Chengdu be 27°C on July 31?,20,29.00,4862,1063,677,151,205,61,18,,
Will the highest temperature in Tel Aviv be 35°C on August 1?,20,51.00,8670,2302,534,749,350,6,146,,
Will the highest temperature in London be 25°C on August 1?,20,30.00,5149,1562,715,764,348,215,7,,
Will the highest temperature in Sao Paulo be 24°C on July 31?,20,38.00,6621,1187,1611,608,1388,116,732,,
Will the highest temperature in Kuala Lumpur be 32°C on August 1?,20,23.00,4004,1591,411,1481,411,347,215,,
Will the highest temperature in Taipei be 36°C on July 31?,20,25.00,4355,1194,703,500,319,4,59,,
Will the highest temperature in Los Angeles be between 80-81°F on July 31?,20,34.00,6044,1455,1293,735,811,340,470,,
Will the highest temperature in Chicago be between 80-81°F on July 31?,20,37.00,6582,2143,909,199,566,20,228,,
Will the highest temperature in Tel Aviv be 34°C on July 31?,20,55.00,9800,2937,1887,2412,1428,727,139,19814706970004549056553540972241770537131088300159235750375123505522491276138,
Will the highest temperature in Hong Kong be 28°C on July 31?,20,44.00,7843,2203,645,1443,402,610,90,,
Will the highest temperature in Seattle be between 84-85°F on July 31?,20,23.00,4111,1576,475,1255,430,93,157,,
Will Abdul El-Sayed win the Michigan Senate Democratic primary by 5–10%?,20,117.00,21059,6193,4182,5224,3814,2312,1851,27047507656377829426594761106474068714817543983216239760997402727994461145444,1012186754935594818384256190562704461918977842381675199193253933482863725002
Will the highest temperature in Busan be 38°C on August 1?,20,25.00,4528,1521,648,606,360,45,110,,
Will the highest temperature in Jeddah be 42°C on July 31?,20,26.00,4720,1546,657,1002,393,741,260,,
Will Alix Earle attend an F1 race in 2026?,20,50.00,9152,2848,1449,2748,1234,707,375,107307107490030909536929682913163637467028315746453603304977866655753214442478,
Will the highest temperature in New York City be between 86-87°F on July 31?,20,37.00,6813,1970,1198,1240,572,380,5,,
Will Kyle Schwarber win the 2026 National League Hank Aaron Award?,20,26.00,4799,485,320,465,138,75,47,,
Will the highest temperature in Tokyo be 36°C on August 1?,20,27.00,5007,2090,393,1302,220,392,136,,
Will the highest temperature in Kuala Lumpur be 32°C on July 31?,20,26.00,4831,1283,818,590,393,172,190,,
Will the highest temperature in Qingdao be 35°C on July 31?,20,49.00,9182,2531,985,141,304,12,50,,
Will the highest temperature in Moscow be 26°C on July 31?,20,31.00,5881,1390,912,343,421,12,261,,
Will the highest temperature in Munich be 37°C on July 31?,20,37.00,7042,1332,1192,597,531,522,165,,
Will the highest temperature in Warsaw be 35°C on July 31?,20,32.00,6095,1484,904,676,64,275,5,,
Will the highest temperature in Milan be 37°C on August 1?,20,24.00,4571,1553,705,458,451,293,95,,
Will the highest temperature in Moscow be 28°C on August 1?,20,25.00,4850,2220,205,2120,170,1273,5,111096562616305232298405615831728087771329231784969516332944516966849716774700,
Will the highest temperature in Karachi be 34°C on July 31?,20,31.00,6024,1754,1258,1368,994,258,183,,
Will the highest temperature in Ankara be 28°C on July 31?,20,40.00,7819,2053,1629,1457,739,306,5,,
Will the highest temperature in Panama City be 33°C on July 31?,20,43.00,8592,2579,1417,1324,776,361,60,,
Will the highest temperature in Seattle be between 82-83°F on July 31?,20,51.00,10212,2242,1589,150,1466,7,60,,
Will Peggy Flanagan win the Minnesota Senate Democratic primary by 15–20%?,20,68.00,13668,4082,2494,3764,2437,1304,1509,93176161872331471155963916886268167176102088121361583843301310405872047218257,96161073073857138024199155861933454238580166820162476172228287554877796308718
Will the highest temperature in Tel Aviv be 34°C on August 1?,20,35.00,7057,1586,887,365,626,77,331,,
Will the highest temperature in Sao Paulo be 25°C on July 31?,20,31.00,6271,1824,688,436,274,95,90,,
Will 4 Sanders endorsees win August 4 primaries?,20,104.00,21226,5536,5077,5415,4921,2878,3273,68402332199861176426242042849829549585228905454229384627184463198351783377405,21520875804219672821826325593846409849411921927533776644777595210820602080475
Will the highest temperature in Shanghai be 37°C on July 31?,20,31.00,6361,864,714,420,582,71,32,,
Will the highest temperature in Tokyo be 35°C on July 31?,20,39.00,8026,1659,1306,282,606,5,124,,
Will the highest temperature in Manila be 33°C on August 1?,20,34.00,7008,2989,514,1228,464,18,279,,
Will the highest temperature in Taipei be 36°C on August 1?,20,30.00,6249,2445,568,1305,360,683,10,,
Will the highest temperature in Helsinki be 24°C on August 1?,20,21.00,4377,1583,601,1483,586,332,146,,
Will there be exactly 1 earthquake of magnitude 6.5 or higher worldwide from July 27 - August 2?,20,27.00,5691,508,785,345,438,70,100,,
Will the highest temperature in Houston be between 94-95°F on July 31?,20,26.00,5520,2215,475,1209,323,870,40,,
Will the highest temperature in Milan be 35°C on August 1?,20,27.00,5734,2021,791,579,467,344,120,,
Will the highest temperature in Toronto be 30°C on July 31?,20,42.00,9030,2659,842,507,726,90,280,,
Will the highest temperature in Cape Town be 25°C on August 1?,20,24.00,5153,1914,658,657,363,5,10,,
Will the highest temperature in Chengdu be 28°C on July 31?,20,34.00,7479,1719,1377,422,718,104,10,,
Will the highest temperature in Qingdao be 36°C on July 31?,20,22.00,4855,1811,566,429,347,30,52,,
Will the highest temperature in Tokyo be 35°C on August 1?,20,31.00,6877,1551,1263,340,386,5,7,,
Will the highest temperature in Chongqing be 38°C on August 1?,20,33.00,7331,2791,822,2791,822,842,133,87009458034469818428922963539344782973500535641441231778769210744970806590647,
Will the highest temperature in London be 24°C on July 31?,20,18.00,4006,779,1157,116,895,30,558,,
Will the highest temperature in Chengdu be 26°C on July 31?,20,20.00,4502,1643,561,802,415,219,74,,
Will Peggy Flanagan win the Minnesota Senate Democratic primary by less than 5%?,20,63.00,14295,5187,1946,3769,1664,1440,937,24136248903490793546632403572052748529269566424068040051328208250222452789942,
Will the highest temperature in Shenzhen be 28°C on August 1?,20,40.00,9172,4264,321,3772,271,725,117,21667657969744870053872565547188761633598018348331448620720894739021352336661,
Will Abdul El-Sayed win the Michigan Senate Democratic primary by less than 5%?,20,122.00,28116,7023,6430,3460,3248,880,1524,36157288701713673579474027742046018168830931430091130984360580047734928061375,82919311155209162113636229038720598941086070244752311435545653685431292134179
Will the highest temperature in Istanbul be 26°C on August 1?,20,25.00,5755,2478,399,2328,349,804,65,83788194400466409741422192530603856296068969888894719965388481439495323889325,
Will the highest temperature in Paris be 29°C on August 1?,20,40.00,9279,2159,1925,1397,1258,115,115,,
Will the highest temperature in Singapore be 33°C on August 1?,20,20.00,4639,1333,875,628,441,405,5,,
Will the highest temperature in Wuhan be 37°C on August 1?,20,30.00,7020,2297,627,380,350,95,130,,
Will the highest temperature in Atlanta be between 90-91°F on July 31?,20,32.00,7669,3070,386,1835,216,124,52,82850730696077907778185105330817038533776734178018548990014499585313910005384,
Will the highest temperature in Wellington be 11°C on August 1?,20,31.00,7510,2953,465,1921,320,152,195,12069922997888281231397539388227902954129774779577302434153762866367660947221,
Will Anthropic have the #1 AI model at the end of September 2026?,20,59.00,14459,4152,3057,3376,3037,306,948,82720603762228799776155064098821865119027411235105780467646016558912085006548,16979813208238395436054278593011833208313250998347758749197829450338969286853
Will the highest temperature in Amsterdam be 23°C on August 1?,20,43.00,10712,4860,496,4650,446,1371,212,20722228348245139721125425628333570361521186744807515739676996681381606032646,
Will the highest temperature in Chicago be between 84-85°F on July 31?,20,17.00,4227,1003,1063,428,648,14,187,,
Will the highest temperature in Seoul (Incheon) be 31°C on August 1?,20,34.00,8641,3328,922,2080,726,70,341,,
Will the highest temperature in Buenos Aires be 21°C on July 31?,20,33.00,8456,3087,1141,2251,535,138,65,109460133492990733395815621735525610007430257266084045731793193663063598345867,
Will the highest temperature in Qingdao be 34°C on July 31?,20,29.00,7461,971,1141,83,274,8,127,,
Will the highest temperature in Guangzhou be 31°C on August 1?,20,32.00,8378,1883,1428,888,766,70,13,,
Will the highest temperature in Chicago be between 78-79°F on July 31?,20,20.00,5271,1962,622,1020,432,197,95,,
Will the highest temperature in Chongqing be 38°C on July 31?,20,33.00,8749,2391,1717,235,539,71,118,,
Will the highest temperature in Shenzhen be 29°C on August 1?,20,21.00,5570,1837,903,556,509,206,13,,
Will the highest temperature in Munich be 30°C on August 1?,20,29.00,7702,3293,558,2193,455,80,90,,
Will the highest temperature in Amsterdam be 24°C on August 1?,20,37.00,9999,4344,646,3248,494,94,286,,
Will the highest temperature in Toronto be 29°C on July 31?,20,43.00,11643,2678,635,1540,380,948,40,105142654422274476254185999947496706122579311719055780773583980191029602804384,
Will the highest temperature in Seoul be 31°C on July 31?,20,40.00,10884,3388,599,1840,198,1080,10,4469030833584170602573837045842358917741260113240811528592571620291748173570,
Will the highest temperature in Lucknow be 33°C on August 1?,20,33.00,9419,3777,828,2405,476,70,90,,
Will the highest temperature in Sao Paulo be 23°C on July 31?,20,20.00,5704,2297,520,1263,131,915,10,,
Will the highest temperature in Buenos Aires be 23°C on July 31?,20,17.00,5084,1099,1407,507,971,83,283,,
"Fnatic merger/acquisition announced by September 1, 2026?",20,24.00,7210,2168,1437,2098,1417,142,275,,
Will the highest temperature in Chongqing be 37°C on August 1?,20,29.00,8971,3188,1297,2712,658,266,256,32317820207433922506270973659523843715463340443273776080821933940173046430553,
Iran full airspace closure by August 15?,20,100.00,31499,8125,5595,3651,4671,1423,3435,84812381466348372343010093926811364509998129875920797623158251015181621523164,54433276129324712073285993587062922641699732288614194228246811181104983627206
Will T1 Esports Academy win LCK CL 2026?,20,31.00,9928,607,332,527,272,41,72,,
Will the highest temperature in Manila be 32°C on August 1?,20,32.00,10465,4019,758,3440,408,1028,90,98896574142983832209334844165842255408640662197834295279202258167756275183537,
Will the highest temperature in Qingdao be 36°C on August 1?,20,40.00,13256,4766,1839,2955,881,13,5,,
Will Robert F. Kennedy Jr. be the next to leave the Trump Cabinet before 2027?,20,20.00,6647,698,396,230,230,90,90,,
Will the highest temperature in Manila be 34°C on August 1?,20,12.00,4291,1764,382,1764,170,1043,5,,
Will the highest temperature in Shanghai be 37°C on August 1?,20,33.00,11998,4137,1219,2453,364,211,127,108528011702789229882919498892107869561187664402727038912500174194200290336336,
Will the highest temperature in Chengdu be 26°C on August 1?,20,31.00,12960,4702,784,2728,404,70,144,,
Will OpenAI have the best Text-to-Image AI at the end of September 2026?,20,142.00,59502,8537,19985,6291,11916,2730,3666,6721922720334237040264083828429946793117466298264000528096649802528678972461,32580727146160741832525792520339058775183749241877206840934143622291055286814
Will Taylor Swift be the third most streamed artist for 2026?,20,14.00,6387,1482,1711,1382,1496,499,449,,
"Will OpenAI launch a new consumer hardware product by October 31, 2026?",20,100.00,47572,11817,11569,9887,10608,4531,4617,80200285462798255511528092965117324052906426974497880890509227715056059741986,9525187342823240252095521993184621276274905331584208961029140930473890765812
Israel military action against Greater Beirut by August 31?,20,50.00,26344,6375,4626,4170,3519,2236,1484,31559551495870384133260864529073368754233794249169049450149048614722064649532,50616289905819912518442801575998401810375254475876682409010855885223776710486
Will Anthropic have the best AI model at the end of December 2026?,20,14.00,7551,397,2552,207,1296,66,1039,,
Will Stripe acquire any part of Paypal in 2026?,20,50.00,27095,5545,7942,3761,5207,725,1285,17782761492476021262307820131731536052536288391242996814495642637363394511111,39426849599939833072109996926137463492030288041203809399312993050584995791270
Will Gerrit Cole win the 2026 AL Comeback Player of the Year award?,20,14.00,7647,2060,1664,2060,1664,935,1175,,
Will The Odyssey win Best Picture at the 99th Academy Awards?,20,333.00,210941,28731,63308,19351,25099,9128,9269,82017183730405650384104430290945791070039022570334386685934371052148316112285,56862573503356103553227491962578050446500362262046087912221284617749216969319
Will no one leave the Trump Cabinet before 2027?,20,30.00,19698,1858,1378,1658,1338,1232,1218,,
Will the highest temperature in Kuala Lumpur be 33°C on July 31?,20,55.00,36230,4550,1566,361,463,21,20,,
Will Drake be the second most streamed artist for 2026?,20,13.00,8738,2172,2127,1903,1764,243,73,,
Will BN win the 2026 Negeri Sembilan general elections?,20,10.00,6775,968,1746,428,806,8,56,,
Will Dune: Part Three win Best Picture at the 99th Academy Awards?,20,98.00,67323,17949,15096,14193,12100,6178,5058,43674325341217495599095278148622412266171753951219805121207270556817201390695,43759403040432428024807661513629101069657802920018200985969441237846003393082
Will the highest temperature in Dallas be between 102-103°F on July 31?,20,48.00,33466,16057,372,2690,106,1610,70,19833248054675960871037982463968780645473158811301955754951760856699575247720,
Will Elon Musk’s net worth be less than $0.70T on July 31?,20,25.00,17423,146,308,106,268,69,20,,
Will there be exactly 2 earthquakes of magnitude 6.5 or higher worldwide from July 27 - August 2?,20,21.00,15740,95,226,61,130,40,109,,
Will PH win the 2026 Negeri Sembilan general elections?,20,10.00,7930,764,2868,664,2507,160,459,,103870460409416656847338772401285687754272075210292233734346832088838695487128
Will the highest temperature in New York City be between 84-85°F on July 31?,20,44.00,37227,2984,1074,1898,544,704,40,89292785136723214508331400274203218953907089223695879517020660644722918604694,
Will the highest temperature in Warsaw be 36°C on July 31?,20,47.00,40654,5582,1222,960,722,548,70,,
Will the highest temperature in Moscow be 25°C on July 31?,20,52.00,45042,7173,1068,2255,512,733,210,10960712011077260049419425020202041760240320751713561442094511159465562896762,
Will the highest temperature in Helsinki be 23°C on August 1?,20,46.00,40285,19170,738,2898,125,5,5,,
Will the highest temperature in Guangzhou be 32°C on July 31?,20,44.00,38986,3508,640,1744,358,71,27,,
Will Darline Graham Nordone win the first round of the South Carolina Republican Senate special primary?,20,17.00,15061,1655,5706,1312,5656,568,4199,,112836765145249695008318265690331776886147113440493243157956720510349518142185
Will Trump endorse Likud in the 2026 Israeli Election?,20,11.00,10166,1425,1753,1395,1567,571,401,,
Will the highest temperature in Manila be 32°C on July 31?,20,43.00,40178,18578,1496,3064,811,985,130,46498227195170028706627758643018175932278015388300320680098161569210521879882,
Will Yordan Alvarez win the 2026 AL Comeback Player of the Year award?,20,26.00,24853,7422,4994,5286,3241,2494,1611,12942070938250729822438116396621955960273538716108671461759927939289065101221,69116212390280834158305501722305883418817627419945167971429635344073364917930
Will the highest temperature in Shanghai be 36°C on August 1?,20,40.00,41660,18892,1878,2587,1217,181,90,93253320469477858547164806730353374749476392008916608492443404346467440529801,
Will Аndrey Gyurov win the next Bulgarian presidential election?,20,10.00,11951,2418,2196,1410,1261,636,471,,
Will Dplus Challengers win LCK CL 2026?,20,11.00,13777,4963,1926,3935,1500,2488,294,95367597821623188438024112038549854801252061047426748906708807273237639118414,
"Will ""Babydoll — Dominic Fike"" be the top song for 2026?",20,10.00,13473,994,3453,859,2041,523,1760,,114743896233593173807337980875986672580948262391890394319332912433943204635561
Will Iliana Iotova win the next Bulgarian presidential election?,20,10.00,13880,989,3586,874,1734,156,713,,99622103131434202105388039057766053299905201074786569487569345621536678411876
Will Yordan Alvarez win the 2026 American League Hank Aaron Award?,20,10.00,14678,3652,3687,3225,3437,1412,1390,43142875037857148702538318389397433525832680224174523328507402186883544130087,23410730762352883021152741365182214871742420996141854636630939549966907156963
"Will ""Choosin Texas – Ella Langley"" be the top song in the US for 2026?",20,15.00,25154,6090,6487,5238,5792,3264,2871,87132057318705370847259331951788899462115315244621376685172901486422916601421,62748160741579406719945833036948815007924227030110232832426309096887077074828
Will the Bears win the season series against the Vikings during the 2026-27 NFL regular season?,20,13.00,23982,20,11885,20,1145,20,20,,
Will AfD win the most seats in 2 German state elections in September 2026?,20,11.00,21800,7358,3482,5415,2633,3758,2003,41292692490316935396749034672551065143117671074111393406550546598596662082135,76685648989792886631767112195182266241615531946858553580553047377214672204510
Will Emmet Carroll win the 2026 PLL Goalie of the Year?,20,11.00,24825,3868,7619,2794,2400,1055,719,43611654617738595797726533765171680848164633318968208553119511543245562028705,109709289849771560172148380851583899339086720615403568176128403448341348993650
Will Abdul El-Sayed win the 2026 Michigan Democratic Primary?,20,50.00,126529,31893,15714,29070,8818,13003,1968,74768395815166461619548348007728690058055087254143355558596876906836785272025,20535370510756332462433575263109694145574231213604117747907874615324086102913
Will Debí Tirar Más Fotos be the top Spotify album for 2026?,20,11.00,28049,8313,4487,2956,2973,5,42,,
Will Drake be the top artist in the US for 2026?,20,17.00,49959,13473,11309,11756,7710,8833,5333,73352292146752457122108933743780855936957950734237961835838317055712180830628,21865468359286456383374962363769650001625238890575707568362988194465059597194
Will Bad Bunny be the top artist for 2026?,20,14.00,62218,12334,18043,4308,4539,1699,1673,84559926953146780213236573115780107039976526543427713229500373094335659185505,24797805539254249433781044462430878338801384554813443486130356027573519184087
Will the season series between the Bears and Vikings end in a tie during the 2026-27 NFL regular season?,20,19.00,93930,44400,2565,42876,2565,10339,2295,13706117478763089378570684118295598409565276982846225613493150065235265586788,626266262088033463240351336357049357268700472465008137882191740721764827060
Will a team from LCK (South Korea) win LoL Worlds 2026?,20,27.00,155300,23902,47930,8555,12375,2881,8868,71142357229322422344089572678224125547687709803011207827324848262016351952627,41852539340970627294572261541672153709430009321845187893526698172238523925204
Will a team from LPL (China) win LoL Worlds 2026?,20,20.00,139325,61782,6474,4563,3723,2755,753,63553648568153764734764671568095102122288246900552333991766030067701843832429,45993050615878682688227575860255511835379389831434793742769053348825525182248
Will Gadi Eizenkot be the next Prime Minister of Israel?,20,11.00,77851,3157,848,2276,490,495,425,52487256270918227930942830546248720603566203568229607048093730748840489555808,
Will J.D. Vance win the 2028 Republican presidential nomination?,20,12.00,569172,68508,28762,68298,27262,26556,27026,40081275558852222228080198821361202017557872256707631666334039001378518619916,78633590736077251574794513664747155551297291244492840448622550955320930591622
Will Luiz Inácio Lula da Silva win the 2026 Brazilian presidential election?,20,12.00,733251,93801,139290,54905,25517,2001,8442,30630994248667897740988010928640156931882346081873066002335460180076741328029,79191939610100241429039499950443680906623179487184628479206155805558220344190
