Market,minSz,Reward/day,Competition,Comp_YES,Comp_NO,Comp_YES_2,Comp_NO_2,Comp_YES_1,Comp_NO_1,yes_token_id,no_token_id
Will the highest temperature in Singapore be 32°C on July 31?,20,54.00,7244,1305,1918,679,1235,114,375,,
Will the highest temperature in Jeddah be 43°C on August 1?,20,27.00,3623,1077,724,579,405,317,90,,
Will the highest temperature in Helsinki be 23°C on August 1?,20,48.00,6569,2751,459,2751,133,969,10,54204334257368742451776554605752497922998079455605465356631247964984831908969,
Will the highest temperature in Chengdu be 27°C on August 1?,20,28.00,3827,1261,653,1009,571,161,245,,
Will the highest temperature in Lucknow be 34°C on August 1?,20,27.00,3731,1209,606,1209,606,229,277,,
Will the highest temperature in Tel Aviv be 34°C on July 31?,20,56.00,7779,1962,1512,1621,645,776,72,,
Will the highest temperature in Milan be 35°C on August 1?,20,27.00,3772,1582,304,1582,196,314,76,,
Will the highest temperature in Shenzhen be 30°C on July 31?,20,38.00,5319,879,1044,421,497,76,40,,
Will the highest temperature in Madrid be 38°C on July 31?,20,48.00,6726,1278,1225,587,599,80,18,,
Will the highest temperature in Amsterdam be 23°C on July 31?,20,28.00,3937,664,995,335,571,20,306,,
Will the highest temperature in Helsinki be 24°C on August 1?,20,24.00,3372,1077,609,902,559,405,75,,
Will the highest temperature in Tokyo be 34°C on July 31?,20,26.00,3736,1254,614,705,174,267,5,,
Will the highest temperature in Beijing be 33°C on July 31?,20,38.00,5478,1921,706,1100,438,181,146,,
Will the highest temperature in Cape Town be 26°C on August 1?,20,23.00,3314,1127,500,587,340,447,211,,
Will the highest temperature in Panama City be 33°C on July 31?,20,42.00,6073,1583,1183,711,489,181,65,,
Will the highest temperature in Shenzhen be 29°C on July 31?,20,30.00,4344,1045,826,488,381,76,179,,
Will the highest temperature in Warsaw be 29°C on August 1?,20,28.00,4055,1361,666,661,576,92,88,,
Will the highest temperature in Taipei be 36°C on July 31?,20,26.00,3766,918,907,661,673,220,308,,
Will the highest temperature in Warsaw be 30°C on August 1?,20,23.00,3358,1307,372,987,352,55,55,,
Will the highest temperature in Cape Town be 24°C on July 31?,20,26.00,3822,999,873,797,667,120,126,,
Will the highest temperature in Busan be 37°C on July 31?,20,22.00,3233,868,650,312,302,45,33,,
Will the highest temperature in New York City be between 86-87°F on July 31?,20,37.00,5462,916,1318,492,729,60,60,,
Will the highest temperature in Lucknow be 32°C on July 31?,20,27.00,3981,1202,628,581,312,8,150,,
Will the highest temperature in Dallas be between 100-101°F on July 31?,20,24.00,3553,668,754,430,704,45,455,,
Will the highest temperature in Austin be between 98-99°F on July 31?,20,43.00,6393,2029,763,1109,479,693,433,43277325903330663522617401298392392159493811761738883417602661528934332499543,
Will the highest temperature in Qingdao be 35°C on August 1?,20,33.00,4954,815,1530,616,1135,90,341,,
Will the highest temperature in Karachi be 32°C on August 1?,20,30.00,4528,1541,673,1541,607,876,91,,
Will the highest temperature in Singapore be 33°C on July 31?,20,30.00,4550,1247,805,783,583,84,313,,
Will the highest temperature in Busan be 39°C on July 31?,20,28.00,4321,998,708,861,370,175,108,,
Will the highest temperature in Amsterdam be 24°C on July 31?,20,53.00,8202,1256,1755,691,843,350,65,,
Will the highest temperature in Atlanta be between 92-93°F on July 31?,20,48.00,7455,2353,756,507,460,366,67,,
Will the highest temperature in Chengdu be 27°C on July 31?,20,27.00,4206,1414,533,769,264,470,19,,
Will the highest temperature in Amsterdam be 23°C on August 1?,20,43.00,6757,2892,486,2682,436,198,191,20722228348245139721125425628333570361521186744807515739676996681381606032646,
Will the highest temperature in Chicago be between 82-83°F on July 31?,20,24.00,3788,816,967,365,529,205,306,,
Will the highest temperature in Dallas be between 102-103°F on July 31?,20,47.00,7480,2182,1118,667,725,186,275,,
Will the lowest temperature in New York City be between 66-67°F on July 31?,20,20.00,3172,1011,575,673,394,111,60,,
Will the highest temperature in Taipei be 35°C on July 31?,20,47.00,7510,1496,931,629,115,92,20,,
Will the highest temperature in Singapore be 31°C on August 1?,20,25.00,4015,770,1238,589,1079,306,387,,
Will the highest temperature in London be 26°C on August 1?,20,46.00,7423,2102,1299,1485,953,676,95,67002916533593844790733029356697159939195526220407675957889830407629127367188,
Will the highest temperature in Munich be 36°C on July 31?,20,45.00,7295,1551,1181,591,340,380,98,,
Will the highest temperature in San Francisco be between 70-71°F on July 31?,20,31.00,5062,2125,383,1300,358,594,76,96729342494955322566198624978457144049218215552352231604735299559365548954250,
Will the highest temperature in Tokyo be 35°C on July 31?,20,40.00,6584,2127,1160,1819,953,314,361,44552636769217256870844192766635356003378553836529366549783103046197373532283,
Will the highest temperature in Seattle be between 80-81°F on July 31?,20,24.00,4034,1386,70,1366,10,345,5,,
Will the highest temperature in Manila be 33°C on July 31?,20,40.00,6766,2447,933,1740,227,1069,85,96059982367247500633633032224702996647031954526251832659039021691998347850171,
Will the highest temperature in Atlanta be between 90-91°F on July 31?,20,34.00,5763,1694,908,80,579,12,60,,
Will the highest temperature in Panama City be 34°C on July 31?,20,28.00,4768,1173,872,729,377,316,5,,
Will the highest temperature in Kuala Lumpur be 32°C on August 1?,20,23.00,3935,1694,274,1384,274,403,144,,
Will the highest temperature in Singapore be 32°C on August 1?,20,54.00,9328,2174,2348,1123,1500,15,200,,3309980056988334489277368221459003749942952733091394682272800828961076697473
Will the highest temperature in Istanbul be 26°C on August 1?,20,26.00,4505,1838,409,1688,359,1012,45,,
Will the highest temperature in Taipei be 37°C on August 1?,20,20.00,3471,930,383,497,89,55,5,,
Will the highest temperature in Houston be between 94-95°F on July 31?,20,25.00,4345,1252,318,631,171,183,56,,
Will the highest temperature in London be 24°C on July 31?,20,19.00,3323,1091,510,467,345,204,119,,
Will the highest temperature in Busan be 38°C on August 1?,20,27.00,4737,1622,712,646,388,40,52,,
Will the highest temperature in Guangzhou be 31°C on July 31?,20,30.00,5291,898,1709,471,1313,90,303,,
Will the highest temperature in Beijing be 34°C on July 31?,20,28.00,4959,1829,650,1046,186,790,5,,
Will the highest temperature in Moscow be 26°C on August 1?,20,20.00,3574,887,881,555,548,175,148,,
Will the highest temperature in Paris be 29°C on July 31?,20,33.00,5948,1043,1824,836,1044,134,539,,
Will the highest temperature in Hong Kong be 29°C on July 31?,20,36.00,6540,1859,893,1083,268,376,5,,
Will the highest temperature in Karachi be 34°C on July 31?,20,32.00,5816,1657,560,880,125,40,13,,
Will the highest temperature in Warsaw be 37°C on July 31?,20,19.00,3463,819,742,428,651,132,315,,
Will the highest temperature in Busan be 39°C on August 1?,20,37.00,6777,1744,1079,1500,168,70,8,,
Will the highest temperature in Paris be 28°C on August 1?,20,40.00,7369,2455,915,1456,550,832,268,26676520679925029331686803034408638493776539984980726307905797621970284022371,
Will the highest temperature in Toronto be 30°C on July 31?,20,38.00,7013,2366,708,562,413,121,5,,
Will the highest temperature in Wellington be 11°C on August 1?,20,32.00,5908,2240,604,2059,376,117,70,12069922997888281231397539388227902954129774779577302434153762866367660947221,
Will the highest temperature in Chengdu be 26°C on July 31?,20,19.00,3536,1317,359,949,305,380,76,,
Will the highest temperature in Milan be 37°C on August 1?,20,24.00,4500,1550,700,460,447,321,136,,
Will the highest temperature in Tokyo be 34°C on August 1?,20,22.00,4129,1281,784,781,473,55,12,,
Will the highest temperature in New York City be between 82-83°F on July 31?,20,18.00,3391,509,891,316,431,164,136,,
Will the highest temperature in Guangzhou be 33°C on July 31?,20,16.00,3022,569,568,179,269,74,128,,
Will the highest temperature in Warsaw be 31°C on August 1?,20,18.00,3417,1178,520,1083,425,448,91,,
Will the highest temperature in Ankara be 27°C on July 31?,20,45.00,8613,2798,1361,2178,748,409,422,105046703966996062310396377749179226578189754942317793193907715010194759031455,
Will the highest temperature in Cape Town be 25°C on August 1?,20,24.00,4591,1885,410,1701,360,639,90,,
Will the highest temperature in Sao Paulo be 25°C on July 31?,20,30.00,5787,1326,881,557,635,70,70,,
Will the highest temperature in Tokyo be 36°C on July 31?,20,24.00,4666,1091,977,479,578,157,254,,
Will the highest temperature in Kuala Lumpur be 33°C on July 31?,20,55.00,10747,1802,2245,611,1228,41,396,,12088306364420867253533647501491573794294554769443314561329418352104548984001
Will the highest temperature in Cape Town be 23°C on July 31?,20,44.00,8654,1771,1812,407,1068,11,418,,
Will the highest temperature in Wuhan be 34°C on July 31?,20,20.00,3935,838,979,282,579,120,206,,
Will the highest temperature in Qingdao be 36°C on August 1?,20,37.00,7333,2025,1527,735,976,141,371,,
Will the highest temperature in Shanghai be 35°C on August 1?,20,19.00,3770,1091,618,507,352,327,121,,
Will the highest temperature in Helsinki be 24°C on July 31?,20,30.00,5973,1219,1322,369,1158,20,323,,
Will the highest temperature in Tel Aviv be 34°C on August 1?,20,35.00,7074,2462,650,1532,239,1020,130,104119301394175660453708648991121896931555786495880242305235671320319544236461,
Will the highest temperature in Munich be 35°C on July 31?,20,16.00,3302,841,752,775,634,270,158,,
Will the highest temperature in Chicago be between 84-85°F on July 31?,20,18.00,3760,746,1028,692,369,31,262,,
Will the highest temperature in Singapore be 33°C on August 1?,20,21.00,4393,1331,682,597,312,430,5,,
Will the highest temperature in Shanghai be 36°C on July 31?,20,44.00,9318,1795,1676,536,571,145,63,,
Will the highest temperature in Tel Aviv be 35°C on July 31?,20,28.00,5993,1605,847,765,477,493,83,,
Will the highest temperature in Wuhan be 37°C on August 1?,20,32.00,6864,1798,1198,424,596,129,96,,
Will the highest temperature in Warsaw be 35°C on July 31?,20,31.00,6697,1702,1420,788,306,379,10,,
Will the highest temperature in Seattle be between 82-83°F on July 31?,20,52.00,11363,3875,1660,2311,1149,70,75,35601328744491294281119116094182035864215010369497650674933286785790497053706,
Will the highest temperature in Moscow be 28°C on August 1?,20,25.00,5466,2296,437,2296,437,1343,99,111096562616305232298405615831728087771329231784969516332944516966849716774700,
Will the highest temperature in Buenos Aires be 23°C on July 31?,20,15.00,3332,751,777,356,742,63,297,,
Will the highest temperature in Tokyo be 36°C on August 1?,20,27.00,6017,2411,582,1421,237,294,70,98743146884896289755358865043503823811111185496821854789226295773904181512366,
Will the highest temperature in Buenos Aires be 22°C on July 31?,20,34.00,7708,2133,1103,1231,599,127,5,67952970176388802429797058803333317003171534493488447731510666018038438779407,
Will the highest temperature in Kuala Lumpur be 32°C on July 31?,20,26.00,5904,1280,1255,369,434,101,67,,
Will the highest temperature in Amsterdam be 25°C on July 31?,20,19.00,4313,1005,690,678,284,36,35,,
Will the highest temperature in Seattle be between 84-85°F on July 31?,20,24.00,5474,1983,450,1883,435,496,141,,
Will the highest temperature in Qingdao be 35°C on July 31?,20,49.00,11220,3673,1883,2125,1336,163,183,23539464862211278215217667500289549407207993702817481982346181212748319128821,
Will the highest temperature in Wuhan be 35°C on August 1?,20,17.00,3895,1126,769,1051,652,477,175,,
Will the highest temperature in Qingdao be 36°C on July 31?,20,21.00,4819,1916,380,1116,366,581,102,,
Will the highest temperature in Chongqing be 37°C on August 1?,20,32.00,7529,2589,858,1551,396,125,5,32317820207433922506270973659523843715463340443273776080821933940173046430553,
Will the highest temperature in Ankara be 29°C on August 1?,20,21.00,4953,2097,380,1947,310,377,20,85072514191929505677043479643601649123786038235048845701598791727278983962330,
Will the highest temperature in Munich be 37°C on July 31?,20,33.00,7867,2899,727,2027,436,1423,70,112318799279180078202322738207239364104144531634898462657192120514103223610523,
Will the highest temperature in Qingdao be 34°C on July 31?,20,29.00,6944,1997,1045,1600,204,40,6,,
Will the highest temperature in Wuhan be 35°C on July 31?,20,39.00,9362,1596,1688,354,609,144,261,,
Will the highest temperature in Toronto be 29°C on July 31?,20,39.00,9365,3803,793,2282,475,162,149,105142654422274476254185999947496706122579311719055780773583980191029602804384,
Will the highest temperature in Amsterdam be 24°C on August 1?,20,37.00,8884,3889,543,3404,523,119,100,61869065785818573331074614886805979507265934853001349052327589642013543147372,
Will the highest temperature in Manila be 33°C on August 1?,20,35.00,8509,3389,865,1528,815,18,90,,
Will the highest temperature in Seoul be 31°C on July 31?,20,37.00,9231,3318,786,2454,549,754,308,4469030833584170602573837045842358917741260113240811528592571620291748173570,
Will the highest temperature in Munich be 30°C on August 1?,20,29.00,7274,3206,431,2188,410,80,70,60412926878754073232365059910336823682630023317165725076564505240282807004149,
Will the highest temperature in Chongqing be 38°C on August 1?,20,34.00,8559,3374,906,1965,338,18,72,,
Will the highest temperature in Shenzhen be 28°C on August 1?,20,38.00,9722,4126,735,2728,568,20,55,,
Will the highest temperature in Los Angeles be between 80-81°F on July 31?,20,34.00,8772,1991,1963,1066,1209,72,517,,
Will the highest temperature in Sao Paulo be 24°C on July 31?,20,35.00,9035,2770,1738,2110,1486,1012,98,72073793847997593943191719871762424930547831859056119658659309875632473452108,
Will the highest temperature in Jeddah be 41°C on July 31?,20,43.00,11257,2012,1411,666,434,154,7,,
Will the highest temperature in Chongqing be 38°C on July 31?,20,32.00,8376,2408,1442,890,397,6,45,,
Will the highest temperature in Dallas be between 104-105°F on July 31?,20,29.00,7639,1788,1313,402,765,8,60,,
Will the highest temperature in Warsaw be 28°C or below on August 1?,20,30.00,7960,2413,837,365,360,90,85,,
Will the highest temperature in Chicago be between 78-79°F on July 31?,20,20.00,5429,2107,496,936,141,167,13,,
Will the highest temperature in Shenzhen be 31°C on July 31?,20,18.00,4940,1513,521,537,304,382,32,,
Will the highest temperature in Sao Paulo be 23°C on July 31?,20,19.00,5228,1963,637,975,282,596,10,,
Will the highest temperature in Tel Aviv be 36°C on August 1?,20,14.00,3888,546,574,365,281,360,196,,
Will the highest temperature in Cape Town be 22°C on July 31?,20,20.00,5589,1721,921,996,501,301,31,,
Will the highest temperature in Wuhan be 36°C on July 31?,20,32.00,8992,2027,1916,473,425,53,236,,
Will the highest temperature in Chicago be between 80-81°F on July 31?,20,35.00,10012,3722,755,2422,327,131,20,82822463419288588200531827262432504724436616200567071000031374742365706764608,
Will the highest temperature in Lucknow be 33°C on August 1?,20,33.00,9479,3788,822,2466,480,70,70,73539420249623793788818558626164168338583139021542709543487851941899566473963,
Will the highest temperature in Kuala Lumpur be 34°C on August 1?,20,29.00,8425,2838,665,1437,195,11,5,,
Will the highest temperature in Shenzhen be 29°C on August 1?,20,21.00,6386,2030,1040,556,519,66,13,,
Will the highest temperature in Wuhan be 36°C on August 1?,20,33.00,10207,2356,1667,654,927,348,17,,
Will the highest temperature in Buenos Aires be 21°C on July 31?,20,34.00,10666,3711,1389,2885,656,1325,190,109460133492990733395815621735525610007430257266084045731793193663063598345867,
Will the highest temperature in Tokyo be 35°C on August 1?,20,29.00,9120,2660,1061,487,593,5,70,,
Will the highest temperature in Shanghai be 35°C on July 31?,20,18.00,5713,854,1821,494,979,53,512,,
Will the highest temperature in Seoul (Incheon) be 31°C on August 1?,20,33.00,10626,3748,774,1915,604,110,90,26027981725202669683092735515125986719677475912574642988426038977841685573778,
Will the highest temperature in Shanghai be 37°C on August 1?,20,32.00,10372,3571,660,2201,330,446,116,108528011702789229882919498892107869561187664402727038912500174194200290336336,
Will the highest temperature in Taipei be 35°C on August 1?,20,29.00,9755,3828,1050,3673,1000,680,70,21727437212923226137840187505420930369025531799787733427444318766598592050389,
Will the highest temperature in Moscow be 26°C on July 31?,20,30.00,10115,2690,1254,1543,420,70,90,22681637228413943791677854711608518764202508382538878412021529286556174106431,
Will the highest temperature in Chengdu be 26°C on August 1?,20,31.00,11094,4094,620,2549,360,161,39,32209043171226443756905497815205298004790017900663120532838838127849146773494,
Will the highest temperature in Shanghai be 37°C on July 31?,20,31.00,11122,2068,1716,212,966,8,248,,
Will the highest temperature in Manila be 32°C on August 1?,20,34.00,13193,4945,1247,3858,782,1120,116,98896574142983832209334844165842255408640662197834295279202258167756275183537,
Will the highest temperature in Houston be between 96-97°F on July 31?,20,55.00,31710,2684,1749,1391,954,75,70,29370690949710497984995287544580813463696636865140153747844143057219033477858,
Will the highest temperature in Tel Aviv be 35°C on August 1?,20,51.00,34301,3655,1675,1338,849,95,466,111169167995312771522151549685003478251394557848457129779410473905643176470933,
Will the highest temperature in Moscow be 25°C on July 31?,20,51.00,41896,6664,1351,2244,515,867,134,10960712011077260049419425020202041760240320751713561442094511159465562896762,
Will the highest temperature in New York City be between 84-85°F on July 31?,20,44.00,38923,3043,1541,1868,885,664,70,89292785136723214508331400274203218953907089223695879517020660644722918604694,
Will the highest temperature in Shanghai be 36°C on August 1?,20,41.00,37245,2921,921,1753,609,5,143,,
Will the highest temperature in Chongqing be 39°C on July 31?,20,45.00,42894,6399,980,1755,576,972,5,102209245747207065625118848594241007862943241255405644209344816731275519803624,
Will the highest temperature in Helsinki be 25°C on July 31?,20,42.00,40136,19121,937,2851,845,1136,67,40214509104603810034660861679055633388607493163840426431951920367525598268076,
Will the highest temperature in Warsaw be 36°C on July 31?,20,47.00,46727,6545,2030,1838,1137,59,15,88070134739384091531336236255465179373892304841996695388391343724700772863003,
Will the highest temperature in Guangzhou be 32°C on July 31?,20,43.00,45868,6502,522,1953,169,1041,15,51739283043127587446653213768924041319426012737473843598757848280989524253820,
Will the highest temperature in Busan be 38°C on July 31?,20,44.00,47397,6871,1634,1606,384,15,54,,
Will the highest temperature in Manila be 32°C on July 31?,20,42.00,47624,7903,1189,1426,560,10,234,,
